,key_index,stat,admin_name,admin_level,pop_group
35,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ migrant,13,overall,admin0,Migrant
36,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ prl,17,overall,admin0,Palestine Refugees from Lebanon
37,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ Lebanese,21,overall,admin0,Lebanese
38,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ migrant,14,overall,admin0,Migrant
39,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ prl,7,overall,admin0,Palestine Refugees from Lebanon
40,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ pop_group ~/~ Lebanese,2,overall,admin0,Lebanese
41,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ pop_group ~/~ migrant,2,overall,admin0,Migrant
42,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ pop_group ~/~ prl,1,overall,admin0,Palestine Refugees from Lebanon
43,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ pop_group ~/~ Lebanese,3,overall,admin0,Lebanese
44,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ pop_group ~/~ migrant,6,overall,admin0,Migrant
45,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ pop_group ~/~ prl,7,overall,admin0,Palestine Refugees from Lebanon
46,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ pop_group ~/~ Lebanese,0,overall,admin0,Lebanese
47,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ pop_group ~/~ migrant,3,overall,admin0,Migrant
48,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ pop_group ~/~ prl,0,overall,admin0,Palestine Refugees from Lebanon
49,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ pop_group ~/~ Lebanese,2,overall,admin0,Lebanese
50,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ pop_group ~/~ migrant,6,overall,admin0,Migrant
51,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ pop_group ~/~ prl,2,overall,admin0,Palestine Refugees from Lebanon
52,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ pop_group ~/~ Lebanese,1,overall,admin0,Lebanese
53,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ pop_group ~/~ migrant,5,overall,admin0,Migrant
54,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ pop_group ~/~ prl,4,overall,admin0,Palestine Refugees from Lebanon
55,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ pop_group ~/~ Lebanese,1,overall,admin0,Lebanese
56,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ pop_group ~/~ migrant,1,overall,admin0,Migrant
57,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ pop_group ~/~ prl,6,overall,admin0,Palestine Refugees from Lebanon
58,mean @/@ i_fcs ~/~ NA @/@ pop_group ~/~ Lebanese,60.3088685,overall,admin0,Lebanese
59,mean @/@ i_fcs ~/~ NA @/@ pop_group ~/~ migrant,64.4038835,overall,admin0,Migrant
60,mean @/@ i_fcs ~/~ NA @/@ pop_group ~/~ prl,48.60263158,overall,admin0,Palestine Refugees from Lebanon
61,prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ pop_group ~/~ Lebanese,80,overall,admin0,Lebanese
62,prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ pop_group ~/~ Lebanese,15,overall,admin0,Lebanese
63,prop_select_one @/@ i_fcs_category ~/~ Poor @/@ pop_group ~/~ Lebanese,5,overall,admin0,Lebanese
64,prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ pop_group ~/~ migrant,81,overall,admin0,Migrant
65,prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ pop_group ~/~ migrant,14,overall,admin0,Migrant
66,prop_select_one @/@ i_fcs_category ~/~ Poor @/@ pop_group ~/~ migrant,5,overall,admin0,Migrant
67,prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ pop_group ~/~ prl,55,overall,admin0,Palestine Refugees from Lebanon
68,prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ pop_group ~/~ prl,24,overall,admin0,Palestine Refugees from Lebanon
69,prop_select_one @/@ i_fcs_category ~/~ Poor @/@ pop_group ~/~ prl,22,overall,admin0,Palestine Refugees from Lebanon
70,mean @/@ i_rcsi ~/~ NA @/@ pop_group ~/~ Lebanese,13.24822515,overall,admin0,Lebanese
71,mean @/@ i_rcsi ~/~ NA @/@ pop_group ~/~ migrant,5.447111111,overall,admin0,Migrant
72,mean @/@ i_rcsi ~/~ NA @/@ pop_group ~/~ prl,13.16949153,overall,admin0,Palestine Refugees from Lebanon
73,prop_select_one @/@ i_rcsi_cat ~/~ High @/@ pop_group ~/~ Lebanese,26,overall,admin0,Lebanese
74,prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ pop_group ~/~ Lebanese,24,overall,admin0,Lebanese
75,prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ pop_group ~/~ Lebanese,51,overall,admin0,Lebanese
76,prop_select_one @/@ i_rcsi_cat ~/~ High @/@ pop_group ~/~ migrant,11,overall,admin0,Migrant
77,prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ pop_group ~/~ migrant,69,overall,admin0,Migrant
78,prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ pop_group ~/~ migrant,20,overall,admin0,Migrant
79,prop_select_one @/@ i_rcsi_cat ~/~ High @/@ pop_group ~/~ prl,26,overall,admin0,Palestine Refugees from Lebanon
80,prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ pop_group ~/~ prl,25,overall,admin0,Palestine Refugees from Lebanon
81,prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ pop_group ~/~ prl,50,overall,admin0,Palestine Refugees from Lebanon
82,mean @/@ hhs_score ~/~ NA @/@ pop_group ~/~ Lebanese,0.350494547,overall,admin0,Lebanese
83,mean @/@ hhs_score ~/~ NA @/@ pop_group ~/~ migrant,0.267029973,overall,admin0,Migrant
84,mean @/@ hhs_score ~/~ NA @/@ pop_group ~/~ prl,0.346349745,overall,admin0,Palestine Refugees from Lebanon
85,prop_select_one @/@ child_access_online_education ~/~ dont_know @/@ NA ~/~ NA,0,overall,admin0,Nationwide
86,prop_select_one @/@ child_access_online_education ~/~ no_child_did_not_access_online_education_while_the_school_was_closed @/@ NA ~/~ NA,4,overall,admin0,Nationwide
87,prop_select_one @/@ child_access_online_education ~/~ no_school_remained_opened_all_year @/@ NA ~/~ NA,49,overall,admin0,Nationwide
88,prop_select_one @/@ child_access_online_education ~/~ yes_child_accessed_online_education_while_the_school_was_closed @/@ NA ~/~ NA,47,overall,admin0,Nationwide
89,"prop_select_one @/@ main_reason_child_not_attending ~/~  Epilepsy, Diabetes, Severe Allergies, etc. @/@ NA ~/~ NA",1,overall,admin0,Nationwide
90,prop_select_one @/@ main_reason_child_not_attending ~/~ age_is_not_appropriate_for_the_intended_grade_level @/@ NA ~/~ NA,1,overall,admin0,Nationwide
91,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_because_of_health_problems_diseases @/@ NA ~/~ NA,2,overall,admin0,Nationwide
92,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_disability @/@ NA ~/~ NA,2,overall,admin0,Nationwide
93,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_fear_of_contracting_from_covid_19 @/@ NA ~/~ NA,19,overall,admin0,Nationwide
94,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_work @/@ NA ~/~ NA,1,overall,admin0,Nationwide
95,prop_select_one @/@ main_reason_child_not_attending ~/~ cost_of_education @/@ NA ~/~ NA,16,overall,admin0,Nationwide
96,prop_select_one @/@ main_reason_child_not_attending ~/~ cultural_religious_reasons @/@ NA ~/~ NA,1,overall,admin0,Nationwide
97,prop_select_one @/@ main_reason_child_not_attending ~/~ difficulties_at_school_with_curriculum @/@ NA ~/~ NA,32,overall,admin0,Nationwide
98,prop_select_one @/@ main_reason_child_not_attending ~/~ dont_know @/@ NA ~/~ NA,9,overall,admin0,Nationwide
99,prop_select_one @/@ main_reason_child_not_attending ~/~ enrolled_attending_non_formal_informal_education_program @/@ NA ~/~ NA,4,overall,admin0,Nationwide
100,prop_select_one @/@ main_reason_child_not_attending ~/~ fear_of_violence_in_schools @/@ NA ~/~ NA,1,overall,admin0,Nationwide
101,prop_select_one @/@ main_reason_child_not_attending ~/~ other @/@ NA ~/~ NA,10,overall,admin0,Nationwide
102,prop_select_one @/@ main_reason_child_not_attending ~/~ prefer_not_to_answer @/@ NA ~/~ NA,1,overall,admin0,Nationwide
103,prop_select_one @/@ governorate ~/~ akkar @/@ NA ~/~ NA,8,overall,admin0,Nationwide
104,prop_select_one @/@ governorate ~/~ baalbek_hermel @/@ NA ~/~ NA,9,overall,admin0,Nationwide
105,prop_select_one @/@ governorate ~/~ beirut @/@ NA ~/~ NA,8,overall,admin0,Nationwide
106,prop_select_one @/@ governorate ~/~ bekaa @/@ NA ~/~ NA,10,overall,admin0,Nationwide
107,prop_select_one @/@ governorate ~/~ mnt_lbn @/@ NA ~/~ NA,19,overall,admin0,Nationwide
108,prop_select_one @/@ governorate ~/~ nabatieh @/@ NA ~/~ NA,9,overall,admin0,Nationwide
109,prop_select_one @/@ governorate ~/~ north @/@ NA ~/~ NA,25,overall,admin0,Nationwide
110,prop_select_one @/@ governorate ~/~ south @/@ NA ~/~ NA,12,overall,admin0,Nationwide
111,prop_select_one @/@ pop_group ~/~ Lebanese @/@ NA ~/~ NA,80,overall,admin0,Nationwide
112,prop_select_one @/@ pop_group ~/~ migrant @/@ NA ~/~ NA,9,overall,admin0,Nationwide
113,prop_select_one @/@ pop_group ~/~ prl @/@ NA ~/~ NA,11,overall,admin0,Nationwide
114,prop_select_one @/@ child_access_online_education ~/~ dont_know @/@ pop_group ~/~ Lebanese,0,overall,admin0,Lebanese
115,prop_select_one @/@ child_access_online_education ~/~ no_child_did_not_access_online_education_while_the_school_was_closed @/@ pop_group ~/~ Lebanese,5,overall,admin0,Lebanese
116,prop_select_one @/@ child_access_online_education ~/~ no_school_remained_opened_all_year @/@ pop_group ~/~ Lebanese,50,overall,admin0,Lebanese
117,prop_select_one @/@ child_access_online_education ~/~ yes_child_accessed_online_education_while_the_school_was_closed @/@ pop_group ~/~ Lebanese,45,overall,admin0,Lebanese
118,prop_select_one @/@ child_access_online_education ~/~ no_child_did_not_access_online_education_while_the_school_was_closed @/@ pop_group ~/~ migrant,3,overall,admin0,Migrant
119,prop_select_one @/@ child_access_online_education ~/~ no_school_remained_opened_all_year @/@ pop_group ~/~ migrant,32,overall,admin0,Migrant
120,prop_select_one @/@ child_access_online_education ~/~ yes_child_accessed_online_education_while_the_school_was_closed @/@ pop_group ~/~ migrant,65,overall,admin0,Migrant
121,prop_select_one @/@ child_access_online_education ~/~ dont_know @/@ pop_group ~/~ prl,1,overall,admin0,Palestine Refugees from Lebanon
122,prop_select_one @/@ child_access_online_education ~/~ no_child_did_not_access_online_education_while_the_school_was_closed @/@ pop_group ~/~ prl,3,overall,admin0,Palestine Refugees from Lebanon
123,prop_select_one @/@ child_access_online_education ~/~ no_school_remained_opened_all_year @/@ pop_group ~/~ prl,43,overall,admin0,Palestine Refugees from Lebanon
124,prop_select_one @/@ child_access_online_education ~/~ yes_child_accessed_online_education_while_the_school_was_closed @/@ pop_group ~/~ prl,53,overall,admin0,Palestine Refugees from Lebanon
125,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_because_of_health_problems_diseases @/@ pop_group ~/~ Lebanese,2,overall,admin0,Lebanese
126,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_disability @/@ pop_group ~/~ Lebanese,2,overall,admin0,Lebanese
127,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_fear_of_contracting_from_covid_19 @/@ pop_group ~/~ Lebanese,20,overall,admin0,Lebanese
128,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_work @/@ pop_group ~/~ Lebanese,1,overall,admin0,Lebanese
129,prop_select_one @/@ main_reason_child_not_attending ~/~ cost_of_education @/@ pop_group ~/~ Lebanese,16,overall,admin0,Lebanese
130,prop_select_one @/@ main_reason_child_not_attending ~/~ cultural_religious_reasons @/@ pop_group ~/~ Lebanese,1,overall,admin0,Lebanese
131,prop_select_one @/@ main_reason_child_not_attending ~/~ difficulties_at_school_with_curriculum @/@ pop_group ~/~ Lebanese,35,overall,admin0,Lebanese
132,prop_select_one @/@ main_reason_child_not_attending ~/~ dont_know @/@ pop_group ~/~ Lebanese,8,overall,admin0,Lebanese
133,prop_select_one @/@ main_reason_child_not_attending ~/~ enrolled_attending_non_formal_informal_education_program @/@ pop_group ~/~ Lebanese,3,overall,admin0,Lebanese
134,prop_select_one @/@ main_reason_child_not_attending ~/~ fear_of_violence_in_schools @/@ pop_group ~/~ Lebanese,1,overall,admin0,Lebanese
135,prop_select_one @/@ main_reason_child_not_attending ~/~ other @/@ pop_group ~/~ Lebanese,10,overall,admin0,Lebanese
136,prop_select_one @/@ main_reason_child_not_attending ~/~ prefer_not_to_answer @/@ pop_group ~/~ Lebanese,1,overall,admin0,Lebanese
137,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_because_of_health_problems_diseases @/@ pop_group ~/~ migrant,50,overall,admin0,Migrant
138,prop_select_one @/@ main_reason_child_not_attending ~/~ cost_of_education @/@ pop_group ~/~ migrant,50,overall,admin0,Migrant
139,"prop_select_one @/@ main_reason_child_not_attending ~/~  Epilepsy, Diabetes, Severe Allergies, etc. @/@ pop_group ~/~ prl",8,overall,admin0,Palestine Refugees from Lebanon
140,prop_select_one @/@ main_reason_child_not_attending ~/~ age_is_not_appropriate_for_the_intended_grade_level @/@ pop_group ~/~ prl,8,overall,admin0,Palestine Refugees from Lebanon
141,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_disability @/@ pop_group ~/~ prl,8,overall,admin0,Palestine Refugees from Lebanon
142,prop_select_one @/@ main_reason_child_not_attending ~/~ child_did_not_attend_due_to_fear_of_contracting_from_covid_19 @/@ pop_group ~/~ prl,8,overall,admin0,Palestine Refugees from Lebanon
143,prop_select_one @/@ main_reason_child_not_attending ~/~ cost_of_education @/@ pop_group ~/~ prl,8,overall,admin0,Palestine Refugees from Lebanon
144,prop_select_one @/@ main_reason_child_not_attending ~/~ difficulties_at_school_with_curriculum @/@ pop_group ~/~ prl,8,overall,admin0,Palestine Refugees from Lebanon
145,prop_select_one @/@ main_reason_child_not_attending ~/~ dont_know @/@ pop_group ~/~ prl,31,overall,admin0,Palestine Refugees from Lebanon
146,prop_select_one @/@ main_reason_child_not_attending ~/~ enrolled_attending_non_formal_informal_education_program @/@ pop_group ~/~ prl,15,overall,admin0,Palestine Refugees from Lebanon
147,prop_select_one @/@ main_reason_child_not_attending ~/~ other @/@ pop_group ~/~ prl,8,overall,admin0,Palestine Refugees from Lebanon
148,prop_select_one @/@ governorate ~/~ akkar @/@ pop_group ~/~ Lebanese,6,overall,admin0,Lebanese
149,prop_select_one @/@ governorate ~/~ baalbek_hermel @/@ pop_group ~/~ Lebanese,8,overall,admin0,Lebanese
150,prop_select_one @/@ governorate ~/~ beirut @/@ pop_group ~/~ Lebanese,4,overall,admin0,Lebanese
151,prop_select_one @/@ governorate ~/~ bekaa @/@ pop_group ~/~ Lebanese,11,overall,admin0,Lebanese
152,prop_select_one @/@ governorate ~/~ mnt_lbn @/@ pop_group ~/~ Lebanese,22,overall,admin0,Lebanese
153,prop_select_one @/@ governorate ~/~ nabatieh @/@ pop_group ~/~ Lebanese,10,overall,admin0,Lebanese
154,prop_select_one @/@ governorate ~/~ north @/@ pop_group ~/~ Lebanese,27,overall,admin0,Lebanese
155,prop_select_one @/@ governorate ~/~ south @/@ pop_group ~/~ Lebanese,11,overall,admin0,Lebanese
156,prop_select_one @/@ governorate ~/~ akkar @/@ pop_group ~/~ migrant,11,overall,admin0,Migrant
157,prop_select_one @/@ governorate ~/~ baalbek_hermel @/@ pop_group ~/~ migrant,10,overall,admin0,Migrant
158,prop_select_one @/@ governorate ~/~ beirut @/@ pop_group ~/~ migrant,15,overall,admin0,Migrant
159,prop_select_one @/@ governorate ~/~ bekaa @/@ pop_group ~/~ migrant,10,overall,admin0,Migrant
160,prop_select_one @/@ governorate ~/~ mnt_lbn @/@ pop_group ~/~ migrant,16,overall,admin0,Migrant
161,prop_select_one @/@ governorate ~/~ nabatieh @/@ pop_group ~/~ migrant,10,overall,admin0,Migrant
162,prop_select_one @/@ governorate ~/~ north @/@ pop_group ~/~ migrant,16,overall,admin0,Migrant
163,prop_select_one @/@ governorate ~/~ south @/@ pop_group ~/~ migrant,12,overall,admin0,Migrant
164,prop_select_one @/@ governorate ~/~ akkar @/@ pop_group ~/~ prl,14,overall,admin0,Palestine Refugees from Lebanon
165,prop_select_one @/@ governorate ~/~ baalbek_hermel @/@ pop_group ~/~ prl,16,overall,admin0,Palestine Refugees from Lebanon
166,prop_select_one @/@ governorate ~/~ beirut @/@ pop_group ~/~ prl,32,overall,admin0,Palestine Refugees from Lebanon
167,prop_select_one @/@ governorate ~/~ mnt_lbn @/@ pop_group ~/~ prl,2,overall,admin0,Palestine Refugees from Lebanon
168,prop_select_one @/@ governorate ~/~ north @/@ pop_group ~/~ prl,16,overall,admin0,Palestine Refugees from Lebanon
169,prop_select_one @/@ governorate ~/~ south @/@ pop_group ~/~ prl,20,overall,admin0,Palestine Refugees from Lebanon
170,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ akkar ~/~ pop_group ~/~ Lebanese,27,akkar,admin2,Lebanese
171,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ akkar ~/~ pop_group ~/~ migrant,75,akkar,admin1,Migrant
172,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ akkar ~/~ pop_group ~/~ prl,21,akkar,admin1,Palestine Refugees from Lebanon
173,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ aley ~/~ pop_group ~/~ Lebanese,22,aley,admin2,Lebanese
174,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ baabda ~/~ pop_group ~/~ Lebanese,23,baabda,admin2,Lebanese
175,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ baalbek ~/~ pop_group ~/~ Lebanese,31,baalbek,admin2,Lebanese
176,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ baalbek_hermel ~/~ pop_group ~/~ migrant,76,baalbek_hermel,admin1,Migrant
177,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ baalbek_hermel ~/~ pop_group ~/~ prl,25,baalbek_hermel,admin1,Palestine Refugees from Lebanon
178,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ batroun ~/~ pop_group ~/~ Lebanese,26,batroun,admin2,Lebanese
179,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ stratification ~/~ bcharre ~/~ pop_group ~/~ Lebanese,64,bcharre,admin2,Lebanese
